Comentario,Comentario_Para_BERT
"Franchement, Merci pour la valeur, j’applique ça dès aujourd’hui. 👏 Merci pour le partage.","Franchement, Merci pour la valeur, j’applique ça dès aujourd’hui. 👏 Merci pour le partage."
"Visto lo visto prefiero seguir con mi second brain configurado con  gemini cli + obsidian, en un lxc de proxmox. Costes controlados y con casi toda la funcionalidad.","Visto lo visto prefiero seguir con mi second brain configurado con gemini cli + obsidian, en un lxc de proxmox. Costes controlados y con casi toda la funcionalidad."
"genial! yo hubiera hecho que clippy reaccionara facialmente a tus comentarios... hubiera quedado graciocísimo! jajaja 

p.e.: que se ponga triste cuando dijiste que quedaba aislado en una minibox... jajajaja",genial! yo hubiera hecho que clippy reaccionara facialmente a tus comentarios... hubiera quedado graciocísimo! jajaja p.e.: que se ponga triste cuando dijiste que quedaba aislado en una minibox... jajajaja
Macbook mini??,Macbook mini??
Aqui veo mucho novato que no sabe del gran problema de estos agentes 😂,Aqui veo mucho novato que no sabe del gran problema de estos agentes 😂
el pdf es una verdadera cagada,el pdf es una verdadera cagada
11:37 700 palabras y cuantas más? 🫴🫴,11:37 700 palabras y cuantas más? 🫴🫴
Saludos y gracias por la información,Saludos y gracias por la información
Unfortunately the PDF is in Spanish please send English version!!!,Unfortunately the PDF is in Spanish please send English version!!!
"A mí me llama la atención la mac book Mini, donde la consigo en Perú ?","A mí me llama la atención la mac book Mini, donde la consigo en Perú ?"
"Un gran video y realmente es apasionante, pero se te olvidó comentar que, al funcionar con APIS, el coste es altísimo. Acabo de ver el video de @dotCSV y habla de más de 20 euros diarios… ¿tienes algo que comentar al respecto?","Un gran video y realmente es apasionante, pero se te olvidó comentar que, al funcionar con APIS, el coste es altísimo. Acabo de ver el video de @dotCSV y habla de más de 20 euros diarios… ¿tienes algo que comentar al respecto?"
Me dejó pensando el promt inyección xD si coloco un paso de seguridad para esas casos como decirle al agente que me dé una llamada para q digite un codigo de confirmación o quizá un correo o un mensaje de WhatsApp? Podría funcionar ?,Me dejó pensando el promt inyección xD si coloco un paso de seguridad para esas casos como decirle al agente que me dé una llamada para q digite un codigo de confirmación o quizá un correo o un mensaje de WhatsApp? Podría funcionar ?
"Menuda voz de mierda parecida a la de Loquendo o mejoran eso o no hay nada que hacer, además seguro que no sabe crear una coreografía a partir de una canción o simplemente un vídeo demostrativo de baile a partir de una canción, si hace eso me da igual la voz, pero aún NO puede hacer eso. Es decir crear un vídeo a partir de una canción con una instructora (representante claro) de baile de Zumba por ejemplo con los pasos o como se baila.","Menuda voz de mierda parecida a la de Loquendo o mejoran eso o no hay nada que hacer, además seguro que no sabe crear una coreografía a partir de una canción o simplemente un vídeo demostrativo de baile a partir de una canción, si hace eso me da igual la voz, pero aún NO puede hacer eso. Es decir crear un vídeo a partir de una canción con una instructora (representante claro) de baile de Zumba por ejemplo con los pasos o como se baila."
Y no es posible que lo haya creado Google y lo haya sacado al mercado como si lo hubiera hecho un chaval en un garaje?,Y no es posible que lo haya creado Google y lo haya sacado al mercado como si lo hubiera hecho un chaval en un garaje?
ni con un palo voy a tocar esta cosa. gracias,ni con un palo voy a tocar esta cosa. gracias
Vale Kratos.,Vale Kratos.
"Muy buenas John. 
Y a toda la peña.
Eres un crack John.
Cres que se puede utilizar en plataformas de traiding 😂 ?🤔🤔🤔",Muy buenas John. Y a toda la peña. Eres un crack John. Cres que se puede utilizar en plataformas de traiding 😂 ?🤔🤔🤔
Todas las semanas salen videos de nuevas IA y siempre dicen que es lo ultimo y mejor,Todas las semanas salen videos de nuevas IA y siempre dicen que es lo ultimo y mejor
peligroso mas que nada porque han hackeado su cuenta en la migración de nombre,peligroso mas que nada porque han hackeado su cuenta en la migración de nombre
"Creo una base de datos con todo tu contenido? debe ser una burrada de grande.

Como busca dentro de esa base de datos sii no tiene un RAG? si no tienes una base de datos vectorial que compare semánticamente lo que le pides? No creo que sea lo mas preciso del mundo, dara respuestas muy superficiales. Aun asi, tremenda herramienta, ya quiero probarla :)

Saludos crack","Creo una base de datos con todo tu contenido? debe ser una burrada de grande. Como busca dentro de esa base de datos sii no tiene un RAG? si no tienes una base de datos vectorial que compare semánticamente lo que le pides? No creo que sea lo mas preciso del mundo, dara respuestas muy superficiales. Aun asi, tremenda herramienta, ya quiero probarla :) Saludos crack"
"Muy bien Jon, te has sumado a la vorágine de Clawbot o Motbot.
Interesante visión la tuya pero olvidas citar algunos detalles por ejemplo que mod bot tira de otra inteligencia artificial a base de claves API que en las más de las veces cuesta buen dinerito según cuál uses. Considero un poco despilfarro utilizar un mini PC de Apple para hacer estas cosas habiéndolos por la mitad de precio con más potencia y características. Puede ser que alguien se le ocurra dar acceso al banco con este agente pero sería suicida guardar las claves de acceso en un archivo de texto sea cual sea la situación. Espero que sea ruta a seguir para las demás empresas de IA y hagan algo más terminado y menos instrumental y de línea de comando, también se te ha olvidado indicar que para instalarlo tienes que tener la utilidad Node.js. tampoco comentas que modbot no tiene voz ni sabe reconocer el habla que todo eso se lo tienes que implementar tú a base de aplicativos o utilidades como si has citado Whisper y algunas otras cosas por qué pareciera que ya viene preparado con todo esto pero no es así. En fin muy interesante y útil tu exposición y será bueno que vayas contándonos tus experiencias.","Muy bien Jon, te has sumado a la vorágine de Clawbot o Motbot. Interesante visión la tuya pero olvidas citar algunos detalles por ejemplo que mod bot tira de otra inteligencia artificial a base de claves API que en las más de las veces cuesta buen dinerito según cuál uses. Considero un poco despilfarro utilizar un mini PC de Apple para hacer estas cosas habiéndolos por la mitad de precio con más potencia y características. Puede ser que alguien se le ocurra dar acceso al banco con este agente pero sería suicida guardar las claves de acceso en un archivo de texto sea cual sea la situación. Espero que sea ruta a seguir para las demás empresas de IA y hagan algo más terminado y menos instrumental y de línea de comando, también se te ha olvidado indicar que para instalarlo tienes que tener la utilidad Node.js. tampoco comentas que modbot no tiene voz ni sabe reconocer el habla que todo eso se lo tienes que implementar tú a base de aplicativos o utilidades como si has citado Whisper y algunas otras cosas por qué pareciera que ya viene preparado con todo esto pero no es así. En fin muy interesante y útil tu exposición y será bueno que vayas contándonos tus experiencias."
"En una manzanita de 700 lereles... prefiero un servidor en la nube. Supongo también que tu pera tiene Windows instalado porque mostraste la interfaz de Windows. ¿Se me está haciendo la pixa un lío o como estas hablando con él a través de WhatsApp como medio de comunicación? Pero aun así, el filtro de instalarlo en un PC independiente sería evitar que acceda a los documentos o archivos de mi PC habitual. Me parece genial, pero los riesgos siguen estando, aun así creo que será una herramienta estupenda cuando sigan puliendo y solventando estos puntos. ¡Gracias por compartir esta herramienta genial!!!! Saludos","En una manzanita de 700 lereles... prefiero un servidor en la nube. Supongo también que tu pera tiene Windows instalado porque mostraste la interfaz de Windows. ¿Se me está haciendo la pixa un lío o como estas hablando con él a través de WhatsApp como medio de comunicación? Pero aun así, el filtro de instalarlo en un PC independiente sería evitar que acceda a los documentos o archivos de mi PC habitual. Me parece genial, pero los riesgos siguen estando, aun así creo que será una herramienta estupenda cuando sigan puliendo y solventando estos puntos. ¡Gracias por compartir esta herramienta genial!!!! Saludos"
14:24 Me entero de que mi banco controla mis cuentas de esta forma y les meto una denuncia que los tiro para atrás.,14:24 Me entero de que mi banco controla mis cuentas de esta forma y les meto una denuncia que los tiro para atrás.
Pero no mostraste el reel,Pero no mostraste el reel
